,user,createdAt,reportsResolved,nThanks,has_givenName,has_location,has_website,has_bio,has_bugcrowdHandle,has_githubHandle,has_gitlabHandle,has_linkedinHandle,has_twitterHandle,yearJoined,hasExternalLink,nhacks,ndisclosedhacks,country
945,945,2019-01-18T15:44:12.749Z,14,4,1,0,0,1,0,0,0,0,0,2019,0,13,0,
946,946,2017-11-15T07:48:54.793Z,1,1,1,0,0,0,0,0,0,0,0,2017,0,1,0,
947,947,2016-09-08T02:08:55.848Z,7,4,1,0,0,0,0,0,0,0,0,2016,0,2,0,
948,948,2020-10-02T22:20:52.123Z,1,1,1,0,1,0,0,0,0,1,1,2020,1,1,0,
949,949,2016-01-12T00:18:26.158Z,3,2,1,0,1,0,0,0,0,0,0,2016,1,3,0,
950,950,2018-03-14T00:48:20.573Z,54,7,1,0,0,1,0,0,0,0,0,2018,0,4,1,
951,951,2016-09-09T05:37:54.707Z,0,0,1,0,0,0,0,0,0,0,0,2016,0,1,1,
952,952,2017-04-18T11:45:20.363Z,1,1,1,1,0,0,0,0,0,0,0,2017,0,1,0,Poland
953,953,2021-04-15T14:57:26.936Z,5,3,1,0,0,0,0,0,0,0,1,2021,1,1,0,
954,954,2016-12-22T00:16:37.619Z,2,3,1,0,0,0,0,0,0,0,0,2016,0,2,0,
955,955,2014-02-08T23:02:48.642Z,6,8,0,0,0,0,0,0,0,0,0,2014,0,7,0,
956,956,2018-08-24T00:47:19.555Z,4,2,1,0,0,0,0,1,0,0,0,2018,1,1,1,
957,957,2017-01-24T14:35:09.122Z,1,1,1,0,0,0,0,0,0,0,0,2017,0,1,1,
958,958,2016-09-21T10:44:20.564Z,1,2,0,0,0,0,0,0,0,0,0,2016,0,1,0,
959,959,2018-09-21T10:20:35.502Z,2,2,1,0,0,0,0,0,0,0,0,2018,0,1,0,
960,960,2020-04-30T21:39:45.277Z,10,2,1,0,0,0,0,0,0,0,0,2020,0,1,0,
961,961,2016-07-03T08:38:50.437Z,1,1,1,0,0,0,0,0,0,0,0,2016,0,1,0,
962,962,2017-08-16T18:43:52.989Z,1,1,1,1,1,1,0,1,0,0,0,2017,1,1,0,France
963,963,2019-06-02T14:31:41.315Z,1,1,1,0,0,0,0,1,0,1,0,2019,1,1,0,
964,964,2014-02-05T14:40:19.054Z,54,19,1,1,1,0,0,0,0,0,0,2014,1,33,5,Iraq
965,965,2016-03-22T19:19:27.672Z,2,4,1,1,1,1,0,0,0,0,0,2016,1,4,1,India
966,966,2015-12-22T02:13:49.462Z,7,6,1,0,0,0,0,0,0,0,0,2015,0,6,1,
967,967,2016-04-27T08:58:16.972Z,7,2,1,0,0,0,0,0,0,0,0,2016,0,6,0,
968,968,2019-03-30T20:02:59.402Z,2,1,1,0,0,0,0,0,0,0,0,2019,0,2,0,
969,969,2019-07-01T01:12:14.733Z,1,1,1,0,0,0,0,0,0,0,0,2019,0,1,0,
970,970,2014-02-15T00:20:38.405Z,812,39,1,1,1,0,0,0,0,0,0,2014,1,402,2,United States
971,971,2015-09-06T08:39:01.065Z,15,1,1,0,0,0,0,0,0,0,0,2015,0,3,0,
972,972,2016-02-07T16:31:24.162Z,1,1,1,0,0,1,0,0,0,0,0,2016,0,1,0,
973,973,2013-11-11T04:22:27.792Z,22,4,1,1,1,0,0,0,0,0,1,2013,1,11,1,Netherlands
974,974,2017-11-26T17:43:22.866Z,79,22,1,0,1,1,1,1,1,0,1,2017,1,41,7,
975,975,2018-11-17T05:19:58.158Z,2,3,1,1,0,0,1,1,0,1,1,2018,1,2,0,
976,976,2018-06-10T15:31:09.556Z,1,1,1,1,1,0,0,1,0,0,1,2018,1,1,0,United States
